Customer ID,recency,frequency,monetary,tenure,avg_order_value,recency_score,frequency_score,monetary_score,RF_SCORE,segment
12396,311,1,931.43,311,931.43,1,1,3,11,hibernating
12399,22,3,853.6499999999999,281,284.54999999999995,4,3,3,43,potential_loyalists
12400,51,1,205.25,51,205.25,3,1,1,31,about_to_sleep
12402,29,5,1031.3000000000002,307,206.26000000000005,4,4,4,44,loyal_customers
12403,158,1,591.6600000000001,158,591.6600000000001,2,1,3,21,hibernating
12404,319,1,63.24,319,63.24,1,1,1,11,hibernating
12406,36,3,2975.0599999999995,334,991.6866666666664,4,3,5,43,potential_loyalists
12408,22,3,1452.2199999999998,135,484.07333333333327,4,3,4,43,potential_loyalists
12409,57,4,12346.62,202,3086.655,3,4,5,34,loyal_customers
12410,139,1,320.38,139,320.38,2,1,2,21,hibernating
12411,46,1,346.90000000000003,46,346.90000000000003,3,1,2,31,about_to_sleep
12412,39,3,1370.0500000000002,176,456.6833333333334,3,3,4,33,need_attention
12413,39,1,241.35,39,241.35,3,1,1,31,about_to_sleep
12414,100,3,390.0,100,130.0,2,3,2,23,at_Risk
12415,12,7,19543.84,164,2791.977142857143,5,5,5,55,champions
12416,293,1,202.56,293,202.56,1,1,1,11,hibernating
12417,47,11,3167.8100000000004,370,287.9827272727273,3,5,5,35,loyal_customers
12418,50,3,1352.62,267,450.8733333333333,3,3,4,33,need_attention
12419,22,2,503.01,50,251.505,4,2,2,42,potential_loyalists
12421,52,2,291.56,142,145.78,3,2,2,32,about_to_sleep
12422,31,14,4428.24,358,316.30285714285714,4,5,5,45,loyal_customers
12423,24,2,763.0799999999999,102,381.54,4,2,3,42,potential_loyalists
12424,59,2,1579.0700000000006,185,789.5350000000003,3,2,4,32,about_to_sleep
12425,85,1,964.21,85,964.21,2,1,3,21,hibernating
12426,299,1,762.4800000000002,299,762.4800000000002,1,1,3,11,hibernating
12427,8,1,303.5,8,303.5,5,1,2,51,new_customers
12429,2,5,3735.51,183,747.102,5,4,5,54,champions
12431,10,13,4370.52,330,336.1938461538462,5,5,5,55,champions
12433,3,5,7205.389999999999,113,1441.078,5,4,5,54,champions
12434,18,1,297.29,18,297.29,4,1,2,41,promising
12435,33,4,6096.040000000001,374,1524.0100000000002,4,4,5,44,loyal_customers
12437,32,21,7731.99,374,368.19,4,5,5,45,loyal_customers
12439,319,2,1158.18,362,579.09,1,2,4,12,hibernating
12440,99,2,859.1999999999999,354,429.6,2,2,3,22,hibernating
12441,3,1,173.55,3,173.55,5,1,1,51,new_customers
12443,369,1,485.31,369,485.31,1,1,2,11,hibernating
12445,57,1,301.58000000000004,57,301.58000000000004,3,1,2,31,about_to_sleep
12449,47,2,768.6,75,384.3,3,2,3,32,about_to_sleep
12450,36,3,490.32,111,163.44,4,3,2,43,potential_loyalists
12451,100,3,3634.36,166,1211.4533333333334,2,3,5,23,at_Risk
12454,32,4,13151.44,58,3287.86,4,4,5,44,loyal_customers
12455,82,4,3413.09,358,853.2725,2,4,5,24,at_Risk
12457,72,1,632.68,72,632.68,3,1,3,31,about_to_sleep
12458,64,2,830.09,124,415.045,3,2,3,32,about_to_sleep
12459,242,1,454.3599999999999,242,454.3599999999999,1,1,2,11,hibernating
12460,93,1,326.65000000000003,93,326.65000000000003,2,1,2,21,hibernating
12466,319,1,56.73,319,56.73,1,1,1,11,hibernating
12467,60,1,132.8,60,132.8,3,1,1,31,about_to_sleep
12468,163,3,2941.2,319,980.4,2,3,5,23,at_Risk
12469,159,2,3070.54,173,1535.27,2,2,5,22,hibernating
12470,326,1,211.95,326,211.95,1,1,1,11,hibernating
12471,11,49,20139.74,369,411.01510204081626,5,5,5,55,champions
12472,6,13,11308.48,362,869.8830769230769,5,5,5,55,champions
12474,15,13,5048.66,303,388.3584615384616,5,5,5,55,champions
12475,46,1,426.26,46,426.26,3,1,2,31,about_to_sleep
12476,33,12,7298.99,138,608.2491666666666,4,5,5,45,loyal_customers
12477,36,3,7056.63,260,2352.21,4,3,5,43,potential_loyalists
12480,36,3,2183.2200000000003,144,727.7400000000001,4,3,5,43,potential_loyalists
12481,2,6,6765.07,244,1127.5116666666663,5,4,5,54,champions
12482,213,29,23691.4,290,816.944827586207,1,5,5,15,cant_loose
12483,15,11,2635.6000000000004,314,239.6,5,5,5,55,champions
12484,120,6,1828.43,318,304.7383333333333,2,4,4,24,at_Risk
12485,166,1,708.1000000000001,166,708.1000000000001,2,1,3,21,hibernating
12486,68,1,1037.28,68,1037.28,3,1,4,31,about_to_sleep
12487,367,1,285.3,367,285.3,1,1,2,11,hibernating
12490,15,11,4405.71,375,400.5190909090909,5,5,5,55,champions
12492,40,1,452.00000000000006,40,452.00000000000006,3,1,2,31,about_to_sleep
12494,2,3,626.77,213,208.9233333333333,5,3,3,53,potential_loyalists
12495,277,1,357.4,277,357.4,1,1,2,11,hibernating
12496,257,2,54.09,257,27.045,1,2,1,12,hibernating
12497,37,2,5205.400000000001,281,2602.7000000000003,4,2,5,42,potential_loyalists
12499,197,1,393.72,197,393.72,1,1,2,11,hibernating
12500,72,8,1697.39,310,212.17375,3,5,4,35,loyal_customers
12503,221,1,1126.0,221,1126.0,1,1,4,11,hibernating
12504,54,2,297.0,233,148.5,3,2,2,32,about_to_sleep
12505,45,1,955.2,45,955.2,3,1,3,31,about_to_sleep
12507,221,1,539.25,221,539.25,1,1,3,11,hibernating
12510,96,7,4195.450000000001,372,599.3500000000001,2,5,5,25,cant_loose
12511,65,1,3084.0200000000004,65,3084.0200000000004,3,1,5,31,about_to_sleep
12514,278,1,580.0799999999999,278,580.0799999999999,1,1,3,11,hibernating
12516,67,2,1336.56,236,668.28,3,2,4,32,about_to_sleep
12519,113,1,385.7,113,385.7,2,1,2,21,hibernating
12523,11,12,2582.38,369,215.19833333333332,5,5,5,55,champions
12524,25,9,6640.389999999999,306,737.821111111111,4,5,5,45,loyal_customers
12525,135,3,973.73,284,324.57666666666665,2,3,3,23,at_Risk
12527,131,2,386.8,166,193.4,2,2,2,22,hibernating
12529,165,1,316.48,165,316.48,2,1,2,21,hibernating
12530,52,5,2096.98,279,419.396,3,4,4,34,loyal_customers
12531,323,1,1807.98,323,1807.98,1,1,4,11,hibernating
12533,264,2,1367.89,375,683.945,1,2,4,12,hibernating
12537,45,1,732.94,45,732.94,3,1,3,31,about_to_sleep
12538,15,1,276.5,15,276.5,5,1,2,51,new_customers
12539,87,3,5646.4,353,1882.1333333333328,2,3,5,23,at_Risk
12540,15,16,8854.25,369,553.390625,5,5,5,55,champions
12542,121,2,481.8799999999999,277,240.93999999999997,2,2,2,22,hibernating
12543,85,1,980.25,85,980.25,2,1,3,21,hibernating
12547,137,1,175.77999999999997,137,175.77999999999997,2,1,1,21,hibernating
12549,212,6,1575.6799999999998,334,262.6133333333333,1,4,4,14,at_Risk
12553,22,2,916.47,60,458.235,4,2,3,42,potential_loyalists
12554,85,1,468.5,85,468.5,2,1,2,21,hibernating
12555,319,1,129.23,319,129.23,1,1,1,11,hibernating
12557,8,4,6725.18,359,1681.295,5,4,5,54,champions
12562,22,2,1185.18,72,592.59,4,2,4,42,potential_loyalists
12563,45,1,249.24,45,249.24,3,1,1,31,about_to_sleep
12567,4,7,4308.580000000001,303,615.5114285714287,5,5,5,55,champions
12568,281,1,70.0,281,70.0,1,1,1,11,hibernating
12570,319,1,77.52,319,77.52,1,1,1,11,hibernating
12573,18,4,556.8700000000001,102,139.21750000000003,4,4,3,44,loyal_customers
12575,94,2,622.8199999999999,163,311.41,2,2,3,22,hibernating
12576,29,3,826.8900000000001,163,275.63000000000005,4,3,3,43,potential_loyalists
12577,18,5,995.95,373,199.19,4,4,4,44,loyal_customers
12578,22,2,1847.9400000000005,80,923.97,4,2,4,42,potential_loyalists
12580,213,1,637.2,213,637.2,1,1,3,11,hibernating
12582,59,2,1469.04,214,734.52,3,2,4,32,about_to_sleep
12583,10,13,7166.06,370,551.2353846153845,5,5,5,55,champions
12586,11,3,1865.73,360,621.91,5,3,4,53,potential_loyalists
12588,36,3,743.8800000000001,234,247.96000000000004,4,3,3,43,potential_loyalists
12589,58,6,4048.98,326,674.8299999999999,3,4,5,34,loyal_customers
12591,27,2,899.3,45,449.65,4,2,3,42,potential_loyalists
12592,156,3,2145.0599999999995,156,715.0199999999999,2,3,4,23,at_Risk
12594,15,5,1751.89,283,350.378,5,4,4,54,champions
12595,141,1,299.02000000000004,141,299.02000000000004,2,1,2,21,hibernating
12598,100,3,1511.0100000000002,285,503.6700000000001,2,3,4,23,at_Risk
12599,18,6,1264.14,214,210.69,4,4,4,44,loyal_customers
12600,8,12,2444.88,369,203.74,5,5,5,55,champions
12601,41,1,104.2,41,104.2,3,1,1,31,about_to_sleep
12605,13,4,1232.9500000000005,95,308.23750000000007,5,4,4,54,champions
12606,319,1,21.0,319,21.0,1,1,1,11,hibernating
12608,41,1,415.79,41,415.79,3,1,2,31,about_to_sleep
12609,11,6,2309.01,356,384.835,5,4,5,54,champions
12613,25,5,3490.69,362,698.138,4,4,5,44,loyal_customers
12615,50,4,3449.79,268,862.4475,3,4,5,34,loyal_customers
12616,25,1,417.8,25,417.8,4,1,2,41,promising
12619,197,1,140.14,197,140.14,1,1,1,11,hibernating
12621,2,16,11086.14,305,692.88375,5,5,5,55,champions
12623,53,6,3442.74,333,573.79,3,4,5,34,loyal_customers
12625,146,2,2481.06,233,1240.53,2,2,5,22,hibernating
12629,22,2,1558.2199999999998,60,779.1099999999999,4,2,4,42,potential_loyalists
12631,93,5,2841.07,330,568.214,2,4,5,24,at_Risk
12632,157,2,804.8800000000001,201,402.44000000000005,2,2,3,22,hibernating
12633,19,3,3514.18,162,1171.3933333333332,4,3,5,43,potential_loyalists
12634,172,2,490.0,185,245.0,2,2,2,22,hibernating
12635,29,2,1241.23,93,620.615,4,2,4,42,potential_loyalists
12636,375,1,141.0,375,141.0,1,1,1,11,hibernating
12637,15,4,2318.41,180,579.6025,5,4,5,54,champions
12638,276,1,249.8,276,249.8,1,1,1,11,hibernating
12639,71,2,826.2700000000001,264,413.1350000000001,3,2,3,32,about_to_sleep
12643,22,6,5005.78,248,834.2966666666666,4,4,5,44,loyal_customers
12644,67,3,1440.58,331,480.1933333333333,3,3,4,33,need_attention
12645,46,4,1764.12,305,441.03,3,4,4,34,loyal_customers
12647,4,27,14201.53,332,525.9825925925926,5,5,5,55,champions
12648,74,3,793.95,338,264.65000000000003,2,3,3,23,at_Risk
12649,19,5,1671.1400000000003,333,334.22800000000007,4,4,4,44,loyal_customers
12651,15,3,263.74999999999994,102,87.91666666666664,5,3,2,53,potential_loyalists
12652,71,1,97.05,71,97.05,3,1,1,31,about_to_sleep
12653,163,1,1950.98,163,1950.98,2,1,4,21,hibernating
12655,60,1,261.35,60,261.35,3,1,2,31,about_to_sleep
12656,62,3,2356.66,199,785.5533333333333,3,3,5,33,need_attention
12661,73,1,162.0,73,162.0,2,1,1,21,hibernating
12662,10,10,3138.24,254,313.824,5,5,5,55,champions
12663,261,2,239.4,305,119.7,1,2,1,12,hibernating
12664,151,2,1188.16,363,594.08,2,2,4,22,hibernating
12665,54,2,250.6,306,125.3,3,2,1,32,about_to_sleep
12666,31,1,1248.42,31,1248.42,4,1,4,41,promising
12668,15,6,7637.530000000001,314,1272.9216666666669,5,4,5,54,champions
12670,22,2,764.24,303,382.12,4,2,3,42,potential_loyalists
12671,243,1,2622.481,243,2622.481,1,1,5,11,hibernating
12672,232,1,211.15000000000003,232,211.15000000000003,1,1,1,11,hibernating
12673,38,1,619.5,38,619.5,3,1,3,31,about_to_sleep
12675,190,2,958.5,215,479.25,1,2,3,12,hibernating
12676,45,5,1511.7,120,302.34000000000003,3,4,4,34,loyal_customers
12677,192,2,395.1,303,197.55,1,2,2,12,hibernating
12678,12,9,16652.72,338,1850.3022222222223,5,5,5,55,champions
12681,4,24,17080.739999999998,363,711.6974999999999,5,5,5,55,champions
12682,2,23,11745.69,375,510.6821739130435,5,5,5,55,champions
12683,2,8,4220.21,363,527.52625,5,5,5,55,champions
12686,8,1,89.14,8,89.14,5,1,1,51,new_customers
12687,117,2,2138.9099999999994,117,1069.4549999999997,2,2,4,22,hibernating
12691,57,1,134.6,57,134.6,3,1,1,31,about_to_sleep
12692,274,1,110.95,274,110.95,1,1,1,11,hibernating
12693,33,3,847.1099999999999,159,282.36999999999995,4,3,3,43,potential_loyalists
12694,58,1,973.68,58,973.68,3,1,3,31,about_to_sleep
12695,165,3,825.02,302,275.00666666666666,2,3,3,23,at_Risk
12696,71,2,851.9100000000001,145,425.955,3,2,3,32,about_to_sleep
12698,227,1,339.75,227,339.75,1,1,2,11,hibernating
12699,54,1,638.11,54,638.11,3,1,3,31,about_to_sleep
12701,166,4,1648.7,270,412.175,2,4,4,24,at_Risk
12703,270,3,722.98,321,240.9933333333333,1,3,3,13,at_Risk
12705,20,5,4893.81,170,978.762,4,4,5,44,loyal_customers
12708,5,9,2601.19,358,289.0211111111111,5,5,5,55,champions
12709,3,20,21356.82,367,1067.841,5,5,5,55,champions
12711,248,2,1339.0499999999995,313,669.5249999999999,1,2,4,12,hibernating
12712,2,10,2797.53,367,279.75300000000004,5,5,5,55,champions
12714,25,7,9384.85,372,1340.6928571428573,4,5,5,45,loyal_customers
12717,227,1,277.93,227,277.93,1,1,2,11,hibernating
12720,6,6,2478.94,143,413.1566666666666,5,4,5,54,champions
12721,22,2,1356.95,108,678.475,4,2,4,42,potential_loyalists
12724,20,3,1286.11,172,428.7033333333334,4,3,4,43,potential_loyalists
12725,8,4,2266.76,221,566.6899999999999,5,4,5,54,champions
12726,24,4,1405.5000000000002,261,351.37500000000006,4,4,4,44,loyal_customers
12727,79,3,1698.8300000000002,291,566.2766666666668,2,3,4,23,at_Risk
12728,20,1,233.84,20,233.84,4,1,1,41,promising
12730,158,1,829.2500000000001,158,829.2500000000001,2,1,3,21,hibernating
12731,79,5,6879.800000000001,284,1375.9600000000005,2,4,5,24,at_Risk
12733,26,3,2040.92,326,680.3066666666667,4,3,4,43,potential_loyalists
12734,11,2,529.25,29,264.625,5,2,3,52,potential_loyalists
12737,135,2,3710.5,135,1855.25,2,2,5,22,hibernating
12738,9,1,155.35,9,155.35,5,1,1,51,new_customers
12739,22,2,1713.69,31,856.845,4,2,4,42,potential_loyalists
12741,166,2,406.07,170,203.035,2,2,2,22,hibernating
12742,262,1,1201.5200000000002,262,1201.5200000000002,1,1,4,11,hibernating
12744,96,4,4037.77,228,1009.4425,2,4,5,24,at_Risk
12745,123,3,925.41,319,308.47,2,3,3,23,at_Risk
12746,177,1,254.55,177,254.55,2,1,2,21,hibernating
12747,6,16,5080.530000000001,369,317.53312500000004,5,5,5,55,champions
12748,2,144,22879.660000000003,372,158.8865277777778,5,5,5,55,champions
12749,36,4,2806.4800000000005,158,701.6200000000001,4,4,5,44,loyal_customers
12751,81,1,268.27,81,268.27,2,1,2,21,hibernating
12755,2,10,5218.71,330,521.871,5,5,5,55,champions
12758,96,5,7111.65,375,1422.33,2,4,5,24,at_Risk
12759,23,5,3489.3,372,697.86,4,4,5,44,loyal_customers
12760,92,1,347.8,92,347.8,2,1,2,21,hibernating
12761,94,2,782.9499999999999,101,391.475,2,2,3,22,hibernating
12763,6,1,320.08000000000004,6,320.08000000000004,5,1,2,51,new_customers
12765,109,6,1404.58,278,234.09666666666664,2,4,4,24,at_Risk
12766,3,3,3078.65,44,1026.2166666666667,5,3,5,53,potential_loyalists
12767,12,1,949.82,12,949.82,5,1,3,51,new_customers
12768,87,1,168.69000000000003,87,168.69000000000003,2,1,1,21,hibernating
12770,93,1,1895.0,93,1895.0,2,1,4,21,hibernating
12771,122,1,282.3,122,282.3,2,1,2,21,hibernating
12773,201,1,124.25,201,124.25,1,1,1,11,hibernating
12774,172,1,98.7,172,98.7,2,1,1,21,hibernating
12775,25,2,300.08,46,150.04,4,2,2,42,potential_loyalists
12776,304,1,55.5,304,55.5,1,1,1,11,hibernating
12777,94,1,519.45,94,519.45,2,1,3,21,hibernating
12778,33,3,953.45,239,317.81666666666666,4,3,3,43,potential_loyalists
12779,8,7,2740.91,373,391.5585714285714,5,5,5,55,champions
12780,235,1,337.3999999999999,235,337.3999999999999,1,1,2,11,hibernating
12782,11,6,2287.32,156,381.22,5,4,5,54,champions
12784,166,1,1230.3300000000002,166,1230.3300000000002,2,1,4,21,hibernating
12785,172,2,788.45,368,394.225,2,2,3,22,hibernating
12786,246,1,728.5000000000001,246,728.5000000000001,1,1,3,11,hibernating
12787,50,1,398.52,50,398.52,3,1,2,31,about_to_sleep
12788,100,4,444.9000000000001,165,111.22500000000002,2,4,2,24,at_Risk
12789,149,2,181.5,330,90.75,2,2,1,22,hibernating
12790,47,1,266.93,47,266.93,3,1,2,31,about_to_sleep
12791,10,6,863.51,261,143.91833333333332,5,4,3,54,champions
12792,171,1,426.47,171,426.47,2,1,2,21,hibernating
12793,8,2,471.85,38,235.925,5,2,2,52,potential_loyalists
12796,265,1,381.0,265,381.0,1,1,2,11,hibernating
12797,2,2,552.08,61,276.04,5,2,3,52,potential_loyalists
12798,58,1,1533.89,58,1533.89,3,1,4,31,about_to_sleep
12799,166,1,219.35,166,219.35,2,1,1,21,hibernating
12800,107,3,584.25,313,194.75,2,3,3,23,at_Risk
12801,137,1,1071.8200000000002,137,1071.8200000000002,2,1,4,21,hibernating
12802,79,6,1988.84,200,331.4733333333333,2,4,4,24,at_Risk
12803,30,1,1092.8100000000002,30,1092.8100000000002,4,1,4,41,promising
12804,102,2,327.02,137,163.51,2,2,2,22,hibernating
12805,18,4,1434.9499999999998,311,358.73749999999995,4,4,4,44,loyal_customers
12806,72,4,2878.96,225,719.74,3,4,5,34,loyal_customers
12807,20,1,330.35,20,330.35,4,1,2,41,promising
12808,5,3,422.4500000000001,99,140.8166666666667,5,3,2,53,potential_loyalists
12809,202,2,1266.63,284,633.315,1,2,4,12,hibernating
12810,171,2,534.99,313,267.495,2,2,3,22,hibernating
12811,15,2,519.05,64,259.525,5,2,3,52,potential_loyalists
12813,138,3,1687.8,330,562.6,2,3,4,23,at_Risk
12817,36,2,524.94,71,262.47,4,2,3,42,potential_loyalists
12819,95,1,540.52,95,540.52,2,1,3,21,hibernating
12820,34,7,1747.18,371,249.59714285714287,4,5,4,45,loyal_customers
12821,248,1,128.08,248,128.08,1,1,1,11,hibernating
12823,31,13,4742.0,316,364.7692307692308,4,5,5,45,loyal_customers
12825,158,2,518.63,278,259.315,2,2,3,22,hibernating
12826,2,6,1481.03,358,246.8383333333333,5,4,4,54,champions
12829,187,1,92.3,187,92.3,1,1,1,11,hibernating
12831,100,2,236.06000000000003,100,118.03000000000002,2,2,1,22,hibernating
12835,64,41,6043.31,373,147.3978048780488,3,5,5,35,loyal_customers
12836,26,11,3972.76,375,361.16,4,5,5,45,loyal_customers
12837,206,1,554.3100000000001,206,554.3100000000001,1,1,3,11,hibernating
12838,10,9,2715.35,229,301.7055555555555,5,5,5,55,champions
12839,4,13,4480.31,369,344.6392307692307,5,5,5,55,champions
12840,74,3,1315.1999999999998,311,438.3999999999999,2,3,4,23,at_Risk
12841,6,17,3518.33,156,206.96058823529413,5,5,5,55,champions
12842,41,2,799.0000000000002,374,399.5000000000001,3,2,3,32,about_to_sleep
12843,19,22,4886.15,363,222.09772727272727,4,5,5,45,loyal_customers
12844,79,2,322.64,230,161.32,2,2,2,22,hibernating
12846,319,1,15.58,319,15.58,1,1,1,11,hibernating
12847,24,1,765.36,24,765.36,4,1,3,41,promising
12848,312,1,208.0,312,208.0,1,1,1,11,hibernating
12849,18,4,2039.67,228,509.9175,4,4,4,44,loyal_customers
12850,82,1,330.0,82,330.0,2,1,2,21,hibernating
12851,114,1,148.95,114,148.95,2,1,1,21,hibernating
12853,64,5,1950.4,309,390.08,3,4,4,34,loyal_customers
12854,198,4,1669.52,365,417.38,1,4,4,14,at_Risk
12855,9,4,612.8400000000001,39,153.21000000000004,5,4,3,54,champions
12857,73,4,2581.6,320,645.4,2,4,5,24,at_Risk
12858,20,1,177.92,20,177.92,4,1,1,41,promising
12859,95,1,575.0999999999999,95,575.0999999999999,2,1,3,21,hibernating
12860,330,1,55.47,330,55.47,1,1,1,11,hibernating
12861,256,1,68.25,256,68.25,1,1,1,11,hibernating
12862,62,2,1008.32,132,504.16,3,2,4,32,about_to_sleep
12863,16,5,2271.35,226,454.27,5,4,5,54,champions
12864,145,1,152.45,145,152.45,2,1,1,21,hibernating
12865,15,2,1755.2399999999998,113,877.6199999999999,5,2,4,52,potential_loyalists
12866,111,2,668.2300000000001,139,334.11500000000007,2,2,3,22,hibernating
12867,34,6,3876.47,360,646.0783333333334,4,4,5,44,loyal_customers
12868,10,3,640.0000000000001,29,213.33333333333337,5,3,3,53,potential_loyalists
12869,318,1,337.6700000000001,318,337.6700000000001,1,1,2,11,hibernating
12870,12,3,1676.9500000000005,261,558.9833333333335,5,3,4,53,potential_loyalists
12871,76,1,363.38,76,363.38,2,1,2,21,hibernating
12872,2,11,3085.5200000000004,372,280.50181818181824,5,5,5,55,champions
12873,34,2,1653.3000000000002,318,826.6500000000001,4,2,4,42,potential_loyalists
12874,22,2,948.42,191,474.21,4,2,3,42,potential_loyalists
12875,108,3,1013.76,334,337.92,2,3,4,23,at_Risk
12876,31,2,1863.77,227,931.885,4,2,4,42,potential_loyalists
12877,38,8,1419.4,327,177.425,3,5,4,35,loyal_customers
12880,18,2,640.1299999999999,211,320.06499999999994,4,2,3,42,potential_loyalists
12887,20,1,222.4,20,222.4,4,1,1,41,promising
12889,18,4,385.46,139,96.365,4,4,2,44,loyal_customers
12890,24,1,336.8,24,336.8,4,1,2,41,promising
12891,95,8,509.5,296,63.6875,2,5,3,25,cant_loose
12892,33,1,263.38,33,263.38,4,1,2,41,promising
12894,212,1,157.35,212,157.35,1,1,1,11,hibernating
12897,18,2,297.75,180,148.875,4,2,2,42,potential_loyalists
12898,100,2,310.96,296,155.48,2,2,2,22,hibernating
12899,50,1,366.4,50,366.4,3,1,2,31,about_to_sleep
12900,59,1,340.33000000000004,59,340.33000000000004,3,1,2,31,about_to_sleep
12903,65,1,833.5300000000001,65,833.5300000000001,3,1,3,31,about_to_sleep
12905,213,2,1018.42,319,509.21,1,2,4,12,hibernating
12907,32,2,508.91,131,254.455,4,2,3,42,potential_loyalists
12908,17,3,1026.0,267,342.0,4,3,4,43,potential_loyalists
12909,61,3,924.52,290,308.17333333333335,3,3,3,33,need_attention
12910,16,5,2721.48,258,544.296,5,4,5,54,champions
12911,188,1,1680.4699999999998,188,1680.4699999999998,1,1,4,11,hibernating
12913,5,9,4217.230000000001,375,468.5811111111113,5,5,5,55,champions
12914,37,1,223.98,37,223.98,4,1,1,41,promising
12915,9,3,811.1000000000001,226,270.3666666666668,5,3,3,53,potential_loyalists
12916,79,3,1647.8699999999997,321,549.2899999999998,2,3,4,23,at_Risk
12917,37,5,3765.2,367,753.04,4,4,5,44,loyal_customers
12918,263,1,10953.5,263,10953.5,1,1,5,11,hibernating
12920,208,3,323.86,362,107.95333333333332,1,3,2,13,at_Risk
12921,3,39,19333.95,375,495.7423076923077,5,5,5,55,champions
12923,27,2,612.9,212,306.45,4,2,3,42,potential_loyalists
12924,30,8,1535.7,367,191.9625,4,5,4,45,loyal_customers
12925,229,1,35.28,229,35.28,1,1,1,11,hibernating
12926,48,4,1548.46,362,387.115,3,4,4,34,loyal_customers
12927,31,1,197.3100000000001,31,197.3100000000001,4,1,1,41,promising
12928,15,7,2242.19,186,320.3128571428571,5,5,5,55,champions
12931,17,42,50291.38,375,1197.4138095238095,4,5,5,45,loyal_customers
12932,176,8,1698.56,304,212.32,2,5,4,25,cant_loose
12933,17,5,1079.5000000000002,366,215.90000000000003,4,4,4,44,loyal_customers
12934,373,1,181.65,373,181.65,1,1,1,11,hibernating
12935,12,8,2083.16,244,260.395,5,5,4,55,champions
12937,100,5,1593.34,373,318.668,2,4,4,24,at_Risk
12939,16,12,13683.0,333,1140.25,5,5,5,55,champions
12941,361,1,377.49000000000007,361,377.49000000000007,1,1,2,11,hibernating
12942,2,1,258.75,2,258.75,5,1,2,51,new_customers
12943,195,2,496.5,242,248.25,1,2,2,12,hibernating
12945,293,1,437.16,293,437.16,1,1,2,11,hibernating
12946,73,1,324.45,73,324.45,2,1,2,21,hibernating
12947,10,1,304.04,10,304.04,5,1,2,51,new_customers
12948,367,2,252.48,374,126.24,1,2,1,12,hibernating
12949,19,14,11359.48,373,811.3914285714285,4,5,5,45,loyal_customers
12951,23,9,2149.65,335,238.85,4,5,5,45,loyal_customers
12953,159,1,498.96,159,498.96,2,1,2,21,hibernating
12954,275,1,162.45000000000002,275,162.45000000000002,1,1,1,11,hibernating
12956,321,3,413.82,361,137.94,1,3,2,13,at_Risk
12957,178,5,4689.43,365,937.886,1,4,5,14,at_Risk
12958,37,2,539.49,220,269.745,4,2,3,42,potential_loyalists
12959,121,1,150.95,121,150.95,2,1,1,21,hibernating
12960,50,4,1322.0700000000004,298,330.5175000000001,3,4,4,34,loyal_customers
12961,16,1,211.99,16,211.99,5,1,1,51,new_customers
12963,2,5,1744.96,156,348.992,5,4,4,54,champions
12964,74,1,132.23999999999998,74,132.23999999999998,2,1,1,21,hibernating
