antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.017488076311605722,0.015387235975471269,0.011810129457188281,0.6753246753246754,43.888627977188875,1.0,0.011541036300224555,3.0326073131955495,0.9946088498879762,0.5606469002695419,0.6702507457365886,0.7214261753007141
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.015387235975471269,0.017488076311605722,0.011810129457188281,0.7675276752767528,43.88862797718887,1.0,0.011541036300224555,4.226360814596109,0.9924866811868716,0.5606469002695419,0.763389818364203,0.7214261753007141
"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.01476266182148535,0.01680672268907563,0.010844878491937316,0.7346153846153847,43.70961538461539,1.0,0.010596766528551007,3.70478626233102,0.9917627975349944,0.5232876712328768,0.7300788954635109,0.6899428274428274
"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.01680672268907563,0.01476266182148535,0.010844878491937316,0.6452702702702703,43.70961538461539,1.0,0.010596766528551007,2.777430972388956,0.9938246744529468,0.5232876712328768,0.6399550484094053,0.6899428274428274
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.015103338632750398,0.015557574381103794,0.010106745400863048,0.6691729323308271,43.01267767960046,1.0,0.009871774086681035,2.9757009683480273,0.9917294664961775,0.49171270718232035,0.6639447274316834,0.6594039844135887
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.015557574381103794,0.015103338632750398,0.010106745400863048,0.6496350364963503,43.01267767960046,1.0,0.009871774086681035,2.8110592209856917,0.9921870645889201,0.49171270718232035,0.6442622081617504,0.6594039844135887
"frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , SHED'})","frozenset({'KEY FOB , GARAGE DESIGN'})",0.014535543947308653,0.017544855780149898,0.010844878491937316,0.74609375,42.52492920711974,1.0,0.010589854469695755,3.869361798773564,0.9908874701507936,0.5106951871657756,0.7415594477836214,0.6821083636731391
"frozenset({'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , SHED'})",0.017544855780149898,0.014535543947308653,0.010844878491937316,0.6181229773462783,42.52492920711974,1.0,0.010589854469695755,2.5805806518667933,0.9939226106419218,0.5106951871657756,0.61249031326473,0.6821083636731391
"frozenset({'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , FRONT  DOOR '})",0.01958891664774018,0.014081308198955257,0.01141267317737906,0.5826086956521739,41.37461430575035,1.0,0.011136835604778584,2.3620968657733363,0.9953279873868626,0.5127551020408163,0.5766473363180192,0.6965462833099578
"frozenset({'KEY FOB , FRONT  DOOR '})","frozenset({'KEY FOB , BACK DOOR '})",0.014081308198955257,0.01958891664774018,0.01141267317737906,0.8104838709677419,41.37461430575034,1.0,0.011136835604778584,5.173232950454476,0.9897678160682419,0.5127551020408163,0.8066972800998361,0.6965462833099578
"frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , SHED'})",0.012207585736997501,0.0224278900749489,0.010844878491937316,0.8883720930232559,39.610150132469826,1.0,0.010571088100947422,8.75741681807859,0.986800396168684,0.4558472553699285,0.885811076396909,0.6859581984103621
"frozenset({'KEY FOB , SHED'})","frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , GARAGE DESIGN'})",0.0224278900749489,0.012207585736997501,0.010844878491937316,0.4835443037974683,39.610150132469826,1.0,0.010571088100947422,1.912637272715127,0.9971171802373583,0.4558472553699285,0.4771617105524523,0.6859581984103621
"frozenset({'KEY FOB , SHED', 'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , BACK DOOR '})",0.014138087667499433,0.01958891664774018,0.010844878491937316,0.7670682730923695,39.158279494790754,1.0,0.010567928671060225,4.20900620266746,0.9884372287101445,0.47394540942928043,0.7624142251521869,0.6603457307490832
"frozenset({'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , SHED', 'KEY FOB , GARAGE DESIGN'})",0.01958891664774018,0.014138087667499433,0.010844878491937316,0.553623188405797,39.158279494790754,1.0,0.010567928671060225,2.208586751653978,0.993932680957563,0.47394540942928043,0.5472217700975003,0.6603457307490832
"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.017771973654326596,0.015727912786736315,0.010844878491937316,0.610223642172524,38.79876818029781,1.0,0.010565362440253892,2.52522264998157,0.9918531743353504,0.47869674185463656,0.6039953150240838,0.6498771640465508
"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.015727912786736315,0.017771973654326596,0.010844878491937316,0.6895306859205776,38.798768180297806,1.0,0.010565362440253892,3.1636879453226925,0.989793369646797,0.47869674185463656,0.6839131996319564,0.6498771640465508
"frozenset({'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , SHED'})",0.017544855780149898,0.0224278900749489,0.014138087667499433,0.8058252427184467,35.92960550571464,1.0,0.013744593570681399,5.034496366114015,0.989528941634886,0.5472527472527472,0.8013703998813546,0.7181024947769449
"frozenset({'KEY FOB , SHED'})","frozenset({'KEY FOB , GARAGE DESIGN'})",0.0224278900749489,0.017544855780149898,0.014138087667499433,0.6303797468354431,35.92960550571464,1.0,0.013744593570681399,2.6580122052523345,0.9944717010575846,0.5472527472527472,0.6237790037141434,0.7181024947769449
"frozenset({'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , BACK DOOR '})",0.017544855780149898,0.01958891664774018,0.012207585736997501,0.6957928802588996,35.519722339477504,1.0,0.011863901019523523,3.2228406888920023,0.9892020337916937,0.48974943052391784,0.6897147279272451,0.6594906430280005
"frozenset({'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , GARAGE DESIGN'})",0.01958891664774018,0.017544855780149898,0.012207585736997501,0.6231884057971013,35.519722339477504,1.0,0.011863901019523523,2.607284805814217,0.9912644229279942,0.48974943052391784,0.6164592384498959,0.6594906430280005
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.017658414717238245,0.017488076311605722,0.010731319554848967,0.6077170418006431,34.75036539023678,1.0,0.010422507850731923,2.504600067763038,0.9886818788038372,0.43953488372093025,0.6007346590495218,0.6106767027185034
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.017488076311605722,0.017658414717238245,0.010731319554848967,0.6136363636363636,34.75036539023677,1.0,0.010422507850731923,2.5425311619083244,0.988510470711118,0.43953488372093025,0.6066911529023545,0.6106767027185034
"frozenset({'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , SHED'})",0.01958891664774018,0.0224278900749489,0.014535543947308653,0.7420289855072463,33.085099981654736,1.0,0.0140962058780458,3.789464920495983,0.9891513164562461,0.5289256198347106,0.7361105008278807,0.6950651256650155
"frozenset({'KEY FOB , SHED'})","frozenset({'KEY FOB , BACK DOOR '})",0.0224278900749489,0.01958891664774018,0.014535543947308653,0.6481012658227847,33.085099981654736,1.0,0.0140962058780458,2.7860602728355577,0.9920239171313238,0.5289256198347106,0.6410702202855669,0.6950651256650155
frozenset({'PINK 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),0.01964569611628435,0.02106518282988871,0.013513513513513514,0.6878612716763006,32.653942632784386,1.0,0.01309967333300355,3.136217099452394,0.988801520840005,0.49686847599164935,0.681144522751755,0.6646853528192824
frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'PINK 3 PIECE MINI DOTS CUTLERY SET'}),0.02106518282988871,0.01964569611628435,0.013513513513513514,0.6415094339622642,32.653942632784386,1.0,0.01309967333300355,2.734672531886155,0.9902353145886856,0.49686847599164935,0.6343255039350978,0.6646853528192824
"frozenset({'KEY FOB , FRONT  DOOR '})","frozenset({'KEY FOB , SHED'})",0.014081308198955257,0.0224278900749489,0.010163524869407222,0.7217741935483871,32.18199265006125,1.0,0.009847710837009577,3.5135925110349664,0.9827653438244414,0.38577586206896547,0.7153910145074167,0.5874693752552061
"frozenset({'KEY FOB , SHED'})","frozenset({'KEY FOB , FRONT  DOOR '})",0.0224278900749489,0.014081308198955257,0.010163524869407222,0.45316455696202523,32.18199265006125,1.0,0.009847710837009577,1.8029531632472808,0.9911562659097171,0.38577586206896547,0.4453544216318353,0.5874693752552061
"frozenset({'TOILET METAL SIGN', 'BATHROOM METAL SIGN'})",frozenset({'KITCHEN METAL SIGN'}),0.01873722461957756,0.01771519418578242,0.010333863275039745,0.5515151515151515,31.132323232323234,1.0,0.010001929702401305,2.1902296345857555,0.9863607056061633,0.39565217391304347,0.5434268698546155,0.5674242424242424
frozenset({'KITCHEN METAL SIGN'}),"frozenset({'TOILET METAL SIGN', 'BATHROOM METAL SIGN'})",0.01771519418578242,0.01873722461957756,0.010333863275039745,0.5833333333333333,31.13232323232323,1.0,0.010001929702401305,2.3550306609130134,0.9853344343517753,0.39565217391304347,0.5753770782702619,0.5674242424242424
frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'RED 3 PIECE MINI DOTS CUTLERY SET'}),0.02106518282988871,0.021860095389507155,0.014024528730411084,0.6657681940700809,30.455868659642245,1.0,0.013564041824352308,2.9265314887942977,0.9879775330765779,0.48526522593320237,0.6582985681756699,0.6536633178142612
frozenset({'RED 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),0.021860095389507155,0.02106518282988871,0.014024528730411084,0.6415584415584416,30.455868659642245,1.0,0.013564041824352308,2.7310862652934267,0.9887804404581922,0.48526522593320237,0.633845326415363,0.6536633178142612
"frozenset({'KITCHEN METAL SIGN', 'BATHROOM METAL SIGN'})",frozenset({'TOILET METAL SIGN'}),0.014194867136043607,0.02396093572564161,0.010333863275039745,0.728,30.38278672985782,1.0,0.009993740975958981,3.588378912773376,0.9810119611985755,0.37142857142857144,0.7213226294357185,0.5796398104265402
frozenset({'TOILET METAL SIGN'}),"frozenset({'KITCHEN METAL SIGN', 'BATHROOM METAL SIGN'})",0.02396093572564161,0.014194867136043607,0.010333863275039745,0.4312796208530805,30.382786729857816,1.0,0.009993740975958981,1.7333740252857897,0.9908277876864263,0.37142857142857144,0.4230904666780586,0.5796398104265402
frozenset({'FELTCRAFT CUSHION RABBIT'}),frozenset({'FELTCRAFT CUSHION BUTTERFLY'}),0.02129230070406541,0.022882125823302294,0.014592323415852827,0.6853333333333332,29.950597187758472,1.0,0.014105110312074814,3.1052474814937416,0.9876408296423245,0.49328214971209206,0.6779644759525054,0.6615252274607113
frozenset({'FELTCRAFT CUSHION BUTTERFLY'}),frozenset({'FELTCRAFT CUSHION RABBIT'}),0.022882125823302294,0.02129230070406541,0.014592323415852827,0.6377171215880892,29.950597187758472,1.0,0.014105110312074814,2.7015013891524764,0.9892477761952901,0.49328214971209206,0.6298354670423756,0.6615252274607113
frozenset({'FELTCRAFT CUSHION OWL'}),frozenset({'FELTCRAFT CUSHION RABBIT'}),0.02078128548716784,0.02129230070406541,0.013059277765160119,0.6284153005464481,29.513734061930784,1.0,0.01261679638555031,2.6338751319287654,0.9866207160828724,0.45009784735812136,0.6203312799921126,0.6208743169398907
frozenset({'FELTCRAFT CUSHION RABBIT'}),frozenset({'FELTCRAFT CUSHION OWL'}),0.02129230070406541,0.02078128548716784,0.013059277765160119,0.6133333333333334,29.513734061930784,1.0,0.01261679638555031,2.532462192705601,0.9871358629439704,0.45009784735812136,0.6051273725308285,0.6208743169398907
"frozenset({'TOILET METAL SIGN', 'KITCHEN METAL SIGN'})",frozenset({'BATHROOM METAL SIGN'}),0.011753349988644106,0.030490574608221667,0.010333863275039745,0.8792270531400966,28.83602767207334,1.0,0.00997549688031445,8.027538042243926,0.9768018537050424,0.3238434163701067,0.8754288058508569,0.6090734893261005
frozenset({'BATHROOM METAL SIGN'}),"frozenset({'TOILET METAL SIGN', 'KITCHEN METAL SIGN'})",0.030490574608221667,0.011753349988644106,0.010333863275039745,0.33891992551210426,28.836027672073335,1.0,0.00997549688031445,1.4948970452284454,0.9956800154457548,0.3238434163701067,0.3310576114977984,0.6090734893261005
frozenset({'FELTCRAFT CUSHION BUTTERFLY'}),frozenset({'FELTCRAFT CUSHION OWL'}),0.022882125823302294,0.02078128548716784,0.013286395639336816,0.5806451612903226,27.940772078265468,1.0,0.012810875650049475,2.3350600115306,0.9867898580200283,0.43738317757009343,0.5717454818882733,0.6099947117927023
frozenset({'FELTCRAFT CUSHION OWL'}),frozenset({'FELTCRAFT CUSHION BUTTERFLY'}),0.02078128548716784,0.022882125823302294,0.013286395639336816,0.6393442622950819,27.940772078265464,1.0,0.012810875650049475,2.709281378399025,0.9846727743631374,0.43738317757009343,0.6308984338160836,0.6099947117927023
frozenset({'KITCHEN METAL SIGN'}),frozenset({'TOILET METAL SIGN'}),0.01771519418578242,0.02396093572564161,0.011753349988644106,0.6634615384615384,27.689300036456434,1.0,0.011328877359391313,2.900230362415236,0.9812683253748847,0.3927893738140418,0.6551998031055623,0.5769914327378782
frozenset({'TOILET METAL SIGN'}),frozenset({'KITCHEN METAL SIGN'}),0.02396093572564161,0.01771519418578242,0.011753349988644106,0.49052132701421797,27.689300036456434,1.0,0.011328877359391313,1.9280194793190686,0.9875475293185286,0.3927893738140418,0.4813330411199079,0.5769914327378782
frozenset({'EDWARDIAN PARASOL RED'}),frozenset({'EDWARDIAN PARASOL BLACK'}),0.01799909152850329,0.02589143765614354,0.012605042016806723,0.7003154574132493,27.048148763074884,1.0,0.012139019660629259,3.250446465926343,0.980680246595251,0.4029038112522687,0.6923499554652686,0.5935787813382036
frozenset({'EDWARDIAN PARASOL BLACK'}),frozenset({'EDWARDIAN PARASOL RED'}),0.02589143765614354,0.01799909152850329,0.012605042016806723,0.4868421052631579,27.048148763074884,1.0,0.012139019660629259,1.9136427959957374,0.9886258373085139,0.4029038112522687,0.47743643584242484,0.5935787813382036
frozenset({'PINK 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'RED 3 PIECE MINI DOTS CUTLERY SET'}),0.01964569611628435,0.021860095389507155,0.011355893708834885,0.5780346820809249,26.44245927482922,1.0,0.010926436917739639,2.3180575821591134,0.9814635700220085,0.3766478342749529,0.5686043316195071,0.5487576007807222
frozenset({'RED 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'PINK 3 PIECE MINI DOTS CUTLERY SET'}),0.021860095389507155,0.01964569611628435,0.011355893708834885,0.5194805194805194,26.442459274829215,1.0,0.010926436917739639,2.0401967945688138,0.9836854937017473,0.3766478342749529,0.5098512052062382,0.5487576007807222
frozenset({'KITCHEN METAL SIGN'}),frozenset({'BATHROOM METAL SIGN'}),0.01771519418578242,0.030490574608221667,0.014194867136043607,0.8012820512820513,26.279663849496252,1.0,0.013654720686022873,4.878821624552176,0.9792961849710982,0.41736227045075125,0.79503247362691,0.6334156997564819
frozenset({'BATHROOM METAL SIGN'}),frozenset({'KITCHEN METAL SIGN'}),0.030490574608221667,0.01771519418578242,0.014194867136043607,0.4655493482309125,26.279663849496252,1.0,0.013654720686022873,1.8379335913666721,0.9922005270863836,0.41736227045075125,0.4559107006383139,0.6334156997564819
"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE ', 'WOODEN PICTURE FRAME WHITE FINISH'})",frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),0.012661821485350897,0.03270497388144447,0.010844878491937316,0.8565022421524664,26.188745640259093,1.0,0.010430773950967403,6.740837213263686,0.9741501743745445,0.3141447368421053,0.8516504748056608,0.5940497321873444
frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE ', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.03270497388144447,0.012661821485350897,0.010844878491937316,0.3315972222222222,26.188745640259093,1.0,0.010430773950967403,1.4771604956478905,0.9943353711081799,0.3141447368421053,0.3230254918498923,0.5940497321873444
frozenset({'TOILET METAL SIGN'}),frozenset({'BATHROOM METAL SIGN'}),0.02396093572564161,0.030490574608221667,0.01873722461957756,0.7819905213270142,25.646959146389896,1.0,0.01800664192115208,4.447097581688374,0.9846009836585752,0.5246422893481716,0.7751342349406368,0.6982578304959093
frozenset({'BATHROOM METAL SIGN'}),frozenset({'TOILET METAL SIGN'}),0.030490574608221667,0.02396093572564161,0.01873722461957756,0.6145251396648045,25.646959146389896,1.0,0.01800664192115208,2.5320433696392777,0.9912322640756022,0.5246422893481716,0.6050620569968899,0.6982578304959093
frozenset({'FELTCRAFT DOLL EMILY'}),frozenset({'FELTCRAFT DOLL ROSIE'}),0.018623665682489212,0.022882125823302294,0.01078809902339314,0.5792682926829268,25.315318041517884,1.0,0.010361949961955306,2.322425092246064,0.978725684843908,0.35120147874306834,0.5694156064112794,0.5253661562670217
frozenset({'FELTCRAFT DOLL ROSIE'}),frozenset({'FELTCRAFT DOLL EMILY'}),0.022882125823302294,0.018623665682489212,0.01078809902339314,0.4714640198511166,25.31531804151788,1.0,0.010361949961955306,1.856782454131253,0.9829911521205245,0.35120147874306834,0.4614339457080459,0.5253661562670217
frozenset({'CERAMIC HEART FAIRY CAKE MONEY BANK'}),frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),0.01833976833976834,0.022768566886213946,0.010333863275039745,0.5634674922600619,24.7476046725292,1.0,0.00991629303291806,2.238622360962786,0.9775195306168758,0.33579335793357934,0.5532966982560112,0.5086664144592079
frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),frozenset({'CERAMIC HEART FAIRY CAKE MONEY BANK'}),0.022768566886213946,0.01833976833976834,0.010333863275039745,0.45386533665835405,24.747604672529196,1.0,0.00991629303291806,1.7974691913048075,0.9819496348169872,0.33579335793357934,0.4436622308535445,0.5086664144592079
"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),0.01476266182148535,0.03270497388144447,0.011810129457188281,0.8,24.461111111111112,1.0,0.011327316987896005,4.8364751305927784,0.9734900875979714,0.3312101910828026,0.7932378492603898,0.5805555555555556
frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.03270497388144447,0.01476266182148535,0.011810129457188281,0.3611111111111111,24.461111111111112,1.0,0.011327316987896005,1.5421106162794145,0.9915473115754871,0.3312101910828026,0.3515380871881563,0.5805555555555556
frozenset({'FELTCRAFT DOLL MOLLY'}),frozenset({'FELTCRAFT DOLL ROSIE'}),0.021462639109697933,0.022882125823302294,0.011583011583011582,0.5396825396825397,23.58533223049352,1.0,0.011091900774403345,2.122704347349378,0.9786041955368662,0.35355285961871746,0.5289028350798355,0.5229430068139745
frozenset({'FELTCRAFT DOLL ROSIE'}),frozenset({'FELTCRAFT DOLL MOLLY'}),0.022882125823302294,0.021462639109697933,0.011583011583011582,0.5062034739454094,23.58533223049352,1.0,0.011091900774403345,1.9816610876321192,0.9800258414714599,0.35355285961871746,0.49537284339831444,0.5229430068139745
"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE ', 'WOODEN PICTURE FRAME WHITE FINISH'})",frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),0.013172836702248466,0.03713377242789007,0.010844878491937316,0.8232758620689656,22.170542022566703,1.0,0.010355721371606263,5.448413775529992,0.9676416896113365,0.27482014388489207,0.8164603421841387,0.5576623958662871
frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE ', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.03713377242789007,0.013172836702248466,0.010844878491937316,0.29204892966360857,22.1705420225667,1.0,0.010355721371606263,1.393920010360107,0.9917214627576969,0.27482014388489207,0.28259871974887657,0.5576623958662871
frozenset({'HAND WARMER RED RETROSPOT'}),frozenset({'HAND WARMER UNION JACK'}),0.021121962298432887,0.023904156257097433,0.011185555303202362,0.5295698924731183,22.153883482747172,1.0,0.010680652615964101,2.074900879270627,0.9754649204423664,0.3305369127516779,0.5180492668394252,0.49875169207978953
frozenset({'HAND WARMER UNION JACK'}),frozenset({'HAND WARMER RED RETROSPOT'}),0.023904156257097433,0.021121962298432887,0.011185555303202362,0.4679334916864608,22.153883482747172,1.0,0.010680652615964101,1.8397663119301775,0.978245316062265,0.3305369127516779,0.4564527062402522,0.49875169207978953
frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.03270497388144447,0.017771973654326596,0.012718600953895072,0.3888888888888889,21.882144124955627,1.0,0.012137369019708601,1.6072822249292837,0.9865662630396135,0.3368421052631579,0.3778317308001105,0.5522719204827831
"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),0.017771973654326596,0.03270497388144447,0.012718600953895072,0.7156549520766773,21.882144124955623,1.0,0.012137369019708601,3.4018353165742456,0.9715673077717126,0.3368421052631579,0.7060410316960812,0.5522719204827831
"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),0.01680672268907563,0.03713377242789007,0.012718600953895072,0.7567567567567568,20.379204892966364,1.0,0.01209450393830028,3.9584500466853414,0.9671855921855922,0.3085399449035813,0.7473758697959666,0.5496322010083479
frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.03713377242789007,0.01680672268907563,0.012718600953895072,0.3425076452599389,20.379204892966364,1.0,0.01209450393830028,1.4953683799101036,0.98760382794467,0.3085399449035813,0.33126845970882673,0.5496322010083479
frozenset({'LARGE POPCORN HOLDER '}),frozenset({'SMALL POPCORN HOLDER'}),0.019077901430842606,0.035089711560299795,0.013570292982057688,0.7113095238095238,20.271170442286948,1.0,0.01290085492367359,3.3423696589251475,0.9691583651492239,0.3342657342657343,0.7008110705739281,0.5490204576976422
frozenset({'SMALL POPCORN HOLDER'}),frozenset({'LARGE POPCORN HOLDER '}),0.035089711560299795,0.019077901430842606,0.013570292982057688,0.38673139158576053,20.271170442286948,1.0,0.01290085492367359,1.5994983032077552,0.9852406682545599,0.3342657342657343,0.37480396322114,0.5490204576976422
"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),0.015727912786736315,0.03713377242789007,0.011810129457188281,0.7509025270758124,20.221552456971267,1.0,0.011226092722999912,3.865419493296733,0.9657368374342703,0.2876901798063624,0.7412958666622955,0.534472670265735
